100.000000 [kg]
tempo [s]         x [m]         z [m]        vx [m]        vz [m]   atitude [graus]     fuel [kg]
    0.017         0.000        30.000         0.000        -0.027             0.000       100.000
    0.034         0.000        29.999         0.000        -0.054             0.000       100.000
    0.050         0.000        29.998         0.000        -0.082             0.000       100.000
    0.067         0.000        29.996         0.000        -0.109             0.000       100.000
    0.084         0.000        29.994         0.000        -0.136             0.000       100.000
    0.101         0.000        29.992         0.000        -0.163             0.000       100.000
    0.117         0.000        29.989         0.000        -0.190             0.000       100.000
    0.134         0.000        29.985         0.000        -0.217             0.000       100.000
    0.151         0.000        29.982         0.000        -0.245             0.000       100.000
    0.168         0.000        29.977         0.000        -0.272             0.000       100.000
    0.184         0.000        29.972         0.000        -0.299             0.000       100.000
    0.201         0.000        29.967         0.000        -0.326             0.000       100.000
    0.218         0.000        29.962         0.000        -0.353             0.000       100.000
    0.235         0.000        29.955         0.000        -0.381             0.000       100.000
    0.251         0.000        29.949         0.000        -0.408             0.000       100.000
    0.268         0.000        29.942         0.000        -0.435             0.000       100.000
    0.285         0.000        29.934         0.000        -0.462             0.000       100.000
    0.302         0.000        29.926         0.000        -0.489             0.000       100.000
    0.318         0.000        29.918         0.000        -0.516             0.000       100.000
    0.335         0.000        29.909         0.000        -0.543             0.000       100.000
    0.352         0.000        29.900         0.000        -0.571             0.000       100.000
    0.369         0.000        29.890         0.000        -0.598             0.000       100.000
    0.385         0.000        29.880         0.000        -0.625             0.000       100.000
    0.402         0.000        29.869         0.000        -0.652             0.000       100.000
    0.419         0.000        29.858         0.000        -0.679             0.000       100.000
    0.436         0.000        29.846         0.000        -0.706             0.000       100.000
    0.452         0.000        29.834         0.000        -0.734             0.000       100.000
    0.469         0.000        29.822         0.000        -0.761             0.000       100.000
    0.486         0.000        29.809         0.000        -0.788             0.000       100.000
    0.502         0.000        29.795         0.000        -0.815             0.000       100.000
    0.519         0.000        29.781         0.000        -0.842             0.000       100.000
    0.536         0.000        29.767         0.000        -0.869             0.000       100.000
    0.553         0.000        29.752         0.000        -0.896             0.000       100.000
    0.569         0.000        29.737         0.000        -0.924             0.000       100.000
    0.586         0.000        29.721         0.000        -0.951             0.000       100.000
    0.603         0.000        29.705         0.000        -0.978             0.000       100.000
    0.620         0.000        29.689         0.000        -1.005             0.000       100.000
    0.636         0.000        29.672         0.000        -1.032             0.000       100.000
    0.653         0.000        29.654         0.000        -1.059             0.000       100.000
    0.670         0.000        29.636         0.000        -1.087             0.000       100.000
    0.687         0.000        29.618         0.000        -1.114             0.000       100.000
    0.703         0.000        29.599         0.000        -1.141             0.000       100.000
    0.733         0.000        29.565         0.000        -1.167             0.000       100.000
    0.750         0.000        29.545         0.000        -1.160             0.000        99.999
    0.766         0.000        29.526         0.000        -1.140             0.000        99.998
    0.783         0.000        29.507         0.000        -1.120             0.000        99.997
    0.800         0.000        29.488         0.000        -1.100             0.000        99.996
    0.817         0.000        29.470         0.000        -1.080             0.000        99.995
    0.834         0.000        29.452         0.000        -1.061             0.000        99.994
    0.850         0.000        29.435         0.000        -1.041             0.000        99.993
    0.867         0.000        29.417         0.000        -1.021             0.000        99.992
    0.884         0.000        29.400         0.000        -1.001             0.000        99.991
    0.900         0.000        29.384         0.000        -0.981             0.000        99.990
    0.917         0.000        29.368         0.000        -0.962             0.000        99.989
    0.934         0.000        29.352         0.000        -0.942             0.000        99.989
    0.951         0.000        29.336         0.000        -0.922             0.000        99.988
    0.967         0.000        29.321         0.000        -0.902             0.000        99.987
    0.984         0.000        29.306         0.000        -0.882             0.000        99.986
    1.001         0.000        29.291         0.000        -0.862             0.000        99.985
    1.018         0.000        29.277         0.000        -0.843             0.000        99.984
    1.034         0.000        29.263         0.000        -0.823             0.000        99.983
    1.051         0.000        29.249         0.000        -0.803             0.000        99.982
    1.068         0.000        29.236         0.000        -0.783             0.000        99.981
    1.085         0.000        29.223         0.000        -0.763             0.000        99.980
    1.102         0.000        29.210         0.000        -0.744             0.000        99.979
    1.118         0.000        29.198         0.000        -0.724             0.000        99.978
    1.135         0.000        29.186         0.000        -0.704             0.000        99.977
    1.152         0.000        29.175         0.000        -0.684             0.000        99.976
    1.168         0.000        29.163         0.000        -0.664             0.000        99.975
    1.185         0.000        29.152         0.000        -0.645             0.000        99.974
    1.202         0.000        29.142         0.000        -0.625             0.000        99.974
    1.219         0.000        29.131         0.000        -0.605             0.000        99.973
    1.235         0.000        29.121         0.000        -0.585             0.000        99.972
    1.252         0.000        29.112         0.000        -0.565             0.000        99.971
    1.269         0.000        29.102         0.000        -0.546             0.000        99.970
    1.286         0.000        29.093         0.000        -0.526             0.000        99.969
    1.302         0.000        29.085         0.000        -0.506             0.000        99.968
    1.319         0.000        29.077         0.000        -0.486             0.000        99.967
    1.336         0.000        29.069         0.000        -0.466             0.000        99.966
    1.353         0.000        29.061         0.000        -0.447             0.000        99.965
    1.369         0.000        29.054         0.000        -0.427             0.000        99.964
    1.386         0.000        29.047         0.000        -0.407             0.000        99.963
    1.403         0.000        29.040         0.000        -0.387             0.000        99.962
    1.420         0.000        29.034         0.000        -0.367             0.000        99.961
    1.436         0.000        29.028         0.000        -0.348             0.000        99.960
    1.453         0.000        29.022         0.000        -0.328             0.000        99.959
    1.470         0.000        29.017         0.000        -0.308             0.000        99.958
    1.487         0.000        29.012         0.000        -0.288             0.000        99.958
    1.503         0.000        29.007         0.000        -0.268             0.000        99.957
    1.520         0.000        29.003         0.000        -0.249             0.000        99.956
    1.537         0.000        28.999         0.000        -0.229             0.000        99.955
    1.554         0.000        28.995         0.000        -0.209             0.000        99.954
    1.570         0.000        28.992         0.000        -0.189             0.000        99.953
    1.587         0.000        28.989         0.000        -0.169             0.000        99.952
    1.604         0.000        28.986         0.000        -0.150             0.000        99.951
    1.621         0.000        28.984         0.000        -0.130             0.000        99.950
    1.637         0.000        28.982         0.000        -0.110             0.000        99.949
    1.654         0.000        28.980         0.000        -0.090             0.000        99.948
    1.671         0.000        28.979         0.000        -0.070             0.000        99.947
    1.688         0.000        28.978         0.000        -0.051             0.000        99.946
    1.704         0.000        28.977         0.000        -0.031             0.000        99.945
    1.721         0.000        28.977         0.000        -0.011             0.000        99.944
    1.738         0.000        28.977         0.000         0.009             0.000        99.943
    1.755         0.000        28.977         0.000         0.029             0.000        99.943
    1.771         0.000        28.978         0.000         0.048             0.000        99.942
    1.788         0.000        28.979         0.000         0.068             0.000        99.941
    1.805         0.000        28.980         0.000         0.088             0.000        99.940
    1.822         0.000        28.981         0.000         0.108             0.000        99.939
    1.838         0.000        28.983         0.000         0.128             0.000        99.938
    1.855         0.000        28.986         0.000         0.148             0.000        99.937
    1.872         0.000        28.988         0.000         0.168             0.000        99.936
    1.889         0.000        28.991         0.000         0.187             0.000        99.935
    1.905         0.000        28.995         0.000         0.207             0.000        99.934
    1.922         0.000        28.998         0.000         0.227             0.000        99.933
    1.939         0.000        29.002         0.000         0.247             0.000        99.932
    1.956         0.000        29.007         0.000         0.267             0.000        99.931
    1.972         0.000        29.011         0.000         0.286             0.000        99.930
    1.989         0.000        29.016         0.000         0.306             0.000        99.929
    2.006         0.000        29.021         0.000         0.326             0.000        99.928
    2.023         0.000        29.027         0.000         0.346             0.000        99.927
    2.039         0.000        29.033         0.000         0.366             0.000        99.927
    2.056         0.000        29.039         0.000         0.386             0.000        99.926
    2.073         0.000        29.046         0.000         0.405             0.000        99.925
    2.090         0.000        29.053         0.000         0.425             0.000        99.924
    2.106         0.000        29.060         0.000         0.445             0.000        99.923
    2.123         0.000        29.068         0.000         0.465             0.000        99.922
    2.140         0.000        29.076         0.000         0.485             0.000        99.921
    2.157         0.000        29.084         0.000         0.504             0.000        99.920
    2.176         0.000        29.094         0.000         0.527             0.000        99.919
    2.192         0.000        29.103         0.000         0.547             0.000        99.918
    2.209         0.000        29.112         0.000         0.566             0.000        99.917
    2.226         0.000        29.122         0.000         0.586             0.000        99.916
    2.250         0.000        29.136         0.000         0.597             0.000        99.915
    2.267         0.000        29.146         0.000         0.586             0.000        99.915
    2.284         0.000        29.156         0.000         0.563             0.000        99.915
    2.300         0.000        29.165         0.000         0.536             0.000        99.915
    2.317         0.000        29.174         0.000         0.509             0.000        99.915
    2.334         0.000        29.182         0.000         0.481             0.000        99.915
    2.351         0.000        29.190         0.000         0.454             0.000        99.915
    2.367         0.000        29.197         0.000         0.427             0.000        99.915
    2.384         0.000        29.204         0.000         0.400             0.000        99.915
    2.401         0.000        29.211         0.000         0.373             0.000        99.915
    2.418         0.000        29.217         0.000         0.346             0.000        99.915
    2.434         0.000        29.222         0.000         0.318             0.000        99.915
    2.451         0.000        29.227         0.000         0.291             0.000        99.915
    2.468         0.000        29.232         0.000         0.264             0.000        99.915
    2.485         0.000        29.236         0.000         0.237             0.000        99.915
    2.501         0.000        29.240         0.000         0.210             0.000        99.915
    2.518         0.000        29.243         0.000         0.183             0.000        99.915
    2.535         0.000        29.246         0.000         0.155             0.000        99.915
    2.552         0.000        29.248         0.000         0.128             0.000        99.915
    2.568         0.000        29.250         0.000         0.101             0.000        99.915
    2.585         0.000        29.252         0.000         0.074             0.000        99.915
    2.602         0.000        29.253         0.000         0.047             0.000        99.915
    2.619         0.000        29.253         0.000         0.019             0.000        99.915
    2.635         0.000        29.253         0.000        -0.008             0.000        99.915
    2.652         0.000        29.253         0.000        -0.035             0.000        99.915
    2.669         0.000        29.252         0.000        -0.062             0.000        99.915
    2.686         0.000        29.251         0.000        -0.089             0.000        99.915
    2.702         0.000        29.249         0.000        -0.116             0.000        99.915
    2.719         0.000        29.247         0.000        -0.144             0.000        99.915
    2.736         0.000        29.244         0.000        -0.171             0.000        99.915
    2.753         0.000        29.241         0.000        -0.198             0.000        99.915
    2.769         0.000        29.238         0.000        -0.225             0.000        99.915
    2.786         0.000        29.234         0.000        -0.252             0.000        99.915
    2.803         0.000        29.229         0.000        -0.279             0.000        99.915
    2.833         0.000        29.220         0.000        -0.329             0.000        99.915
    2.850         0.000        29.214         0.000        -0.356             0.000        99.915
    2.867         0.000        29.208         0.000        -0.383             0.000        99.915
    2.884         0.000        29.202         0.000        -0.410             0.000        99.915
    2.900         0.000        29.194         0.000        -0.437             0.000        99.915
    2.917         0.000        29.187         0.000        -0.465             0.000        99.915
    2.934         0.000        29.179         0.000        -0.492             0.000        99.915
    2.951         0.000        29.170         0.000        -0.519             0.000        99.915
    2.967         0.000        29.162         0.000        -0.546             0.000        99.915
    2.984         0.000        29.152         0.000        -0.573             0.000        99.915
    3.001         0.000        29.142         0.000        -0.600             0.000        99.915
    3.018         0.000        29.132         0.000        -0.628             0.000        99.915
    3.034         0.000        29.121         0.000        -0.655             0.000        99.915
    3.051         0.000        29.110         0.000        -0.682             0.000        99.915
    3.068         0.000        29.098         0.000        -0.709             0.000        99.915
    3.085         0.000        29.086         0.000        -0.736             0.000        99.915
    3.101         0.000        29.074         0.000        -0.764             0.000        99.915
    3.118         0.000        29.061         0.000        -0.791             0.000        99.915
    3.135         0.000        29.047         0.000        -0.818             0.000        99.915
    3.152         0.000        29.033         0.000        -0.845             0.000        99.915
    3.168         0.000        29.019         0.000        -0.872             0.000        99.915
    3.185         0.000        29.004         0.000        -0.899             0.000        99.915
    3.202         0.000        28.989         0.000        -0.927             0.000        99.915
    3.219         0.000        28.973         0.000        -0.954             0.000        99.915
    3.236         0.000        28.957         0.000        -0.981             0.000        99.915
    3.252         0.000        28.940         0.000        -1.008             0.000        99.915
    3.269         0.000        28.923         0.000        -1.035             0.000        99.915
    3.286         0.000        28.905         0.000        -1.063             0.000        99.915
    3.303         0.000        28.887         0.000        -1.090             0.000        99.915
    3.319         0.000        28.869         0.000        -1.117             0.000        99.915
    3.336         0.000        28.850         0.000        -1.144             0.000        99.915
    3.353         0.000        28.831         0.000        -1.171             0.000        99.915
    3.370         0.000        28.811         0.000        -1.198             0.000        99.915
    3.386         0.000        28.790         0.000        -1.226             0.000        99.915
    3.403         0.000        28.770         0.000        -1.253             0.000        99.915
    3.420         0.000        28.748         0.000        -1.280             0.000        99.915
    3.436         0.000        28.727         0.000        -1.307             0.000        99.915
    3.453         0.000        28.705         0.000        -1.334             0.000        99.915
    3.470         0.000        28.682         0.000        -1.361             0.000        99.915
    3.487         0.000        28.659         0.000        -1.388             0.000        99.915
    3.503         0.000        28.636         0.000        -1.416             0.000        99.915
    3.520         0.000        28.612         0.000        -1.443             0.000        99.915
    3.537         0.000        28.587         0.000        -1.470             0.000        99.915
    3.554         0.000        28.563         0.000        -1.497             0.000        99.915
    3.570         0.000        28.537         0.000        -1.524             0.000        99.915
    3.587         0.000        28.512         0.000        -1.551             0.000        99.915
    3.604         0.000        28.485         0.000        -1.579             0.000        99.915
    3.621         0.000        28.459         0.000        -1.606             0.000        99.915
    3.637         0.000        28.432         0.000        -1.633             0.000        99.915
    3.654         0.000        28.404         0.000        -1.660             0.000        99.915
    3.671         0.000        28.376         0.000        -1.687             0.000        99.915
    3.688         0.000        28.347         0.000        -1.714             0.000        99.915
    3.704         0.000        28.318         0.000        -1.742             0.000        99.915
    3.721         0.000        28.289         0.000        -1.769             0.000        99.915
    3.738         0.000        28.259         0.000        -1.796             0.000        99.915
    3.755         0.000        28.229         0.000        -1.823             0.000        99.915
    3.771         0.000        28.198         0.000        -1.850             0.000        99.915
    3.788         0.000        28.167         0.000        -1.877             0.000        99.915
    3.805         0.000        28.135         0.000        -1.904             0.000        99.915
    3.822         0.000        28.103         0.000        -1.932             0.000        99.915
    3.838         0.000        28.070         0.000        -1.959             0.000        99.915
    3.855         0.000        28.037         0.000        -1.986             0.000        99.915
    3.872         0.000        28.004         0.000        -2.013             0.000        99.915
    3.889         0.000        27.970         0.000        -2.041             0.000        99.915
    3.906         0.000        27.935         0.000        -2.068             0.000        99.915
    3.922         0.000        27.901         0.000        -2.095             0.000        99.915
    3.939         0.000        27.865         0.000        -2.122             0.000        99.915
    3.956         0.000        27.829         0.000        -2.149             0.000        99.915
    3.973         0.000        27.793         0.000        -2.176             0.000        99.915
    3.989         0.000        27.757         0.000        -2.204             0.000        99.915
    4.006         0.000        27.720         0.000        -2.231             0.000        99.915
    4.023         0.000        27.682         0.000        -2.258             0.000        99.915
    4.039         0.000        27.644         0.000        -2.285             0.000        99.915
    4.056         0.000        27.605         0.000        -2.312             0.000        99.915
    4.073         0.000        27.567         0.000        -2.339             0.000        99.915
    4.090         0.000        27.527         0.000        -2.366             0.000        99.915
    4.106         0.000        27.487         0.000        -2.394             0.000        99.915
    4.123         0.000        27.447         0.000        -2.421             0.000        99.915
    4.140         0.000        27.406         0.000        -2.448             0.000        99.915
    4.157         0.000        27.365         0.000        -2.475             0.000        99.915
    4.173         0.000        27.323         0.000        -2.502             0.000        99.915
    4.190         0.000        27.281         0.000        -2.529             0.000        99.915
    4.207         0.000        27.239         0.000        -2.557             0.000        99.915
    4.224         0.000        27.196         0.000        -2.584             0.000        99.915
    4.240         0.000        27.152         0.000        -2.611             0.000        99.915
    4.257         0.000        27.108         0.000        -2.638             0.000        99.915
    4.274         0.000        27.064         0.000        -2.665             0.000        99.915
    4.291         0.000        27.019         0.000        -2.692             0.000        99.915
    4.307         0.000        26.974         0.000        -2.719             0.000        99.915
    4.324         0.000        26.928         0.000        -2.747             0.000        99.915
    4.341         0.000        26.882         0.000        -2.774             0.000        99.915
    4.357         0.000        26.835         0.000        -2.801             0.000        99.915
    4.374         0.000        26.788         0.000        -2.828             0.000        99.915
    4.391         0.000        26.741         0.000        -2.855             0.000        99.915
    4.408         0.000        26.692         0.000        -2.882             0.000        99.915
    4.424         0.000        26.644         0.000        -2.910             0.000        99.915
    4.441         0.000        26.595         0.000        -2.937             0.000        99.915
    4.458         0.000        26.546         0.000        -2.964             0.000        99.915
    4.475         0.000        26.496         0.000        -2.991             0.000        99.915
    4.491         0.000        26.445         0.000        -3.018             0.000        99.915
    4.508         0.000        26.395         0.000        -3.045             0.000        99.915
    4.525         0.000        26.344         0.000        -3.072             0.000        99.915
    4.542         0.000        26.292         0.000        -3.100             0.000        99.915
    4.558         0.000        26.240         0.000        -3.127             0.000        99.915
    4.575         0.000        26.187         0.000        -3.154             0.000        99.915
    4.592         0.000        26.134         0.000        -3.181             0.000        99.915
    4.609         0.000        26.081         0.000        -3.208             0.000        99.915
    4.625         0.000        26.026         0.000        -3.235             0.000        99.915
    4.642         0.000        25.972         0.000        -3.263             0.000        99.915
    4.659         0.000        25.917         0.000        -3.290             0.000        99.915
    4.676         0.000        25.862         0.000        -3.317             0.000        99.915
    4.692         0.000        25.806         0.000        -3.344             0.000        99.915
    4.709         0.000        25.750         0.000        -3.371             0.000        99.915
    4.726         0.000        25.693         0.000        -3.398             0.000        99.915
    4.743         0.000        25.636         0.000        -3.426             0.000        99.915
    4.759         0.000        25.578         0.000        -3.453             0.000        99.915
    4.776         0.000        25.520         0.000        -3.480             0.000        99.915
    4.793         0.000        25.462         0.000        -3.507             0.000        99.915
    4.810         0.000        25.403         0.000        -3.534             0.000        99.915
    4.826         0.000        25.343         0.000        -3.561             0.000        99.915
    4.843         0.000        25.284         0.000        -3.589             0.000        99.915
    4.860         0.000        25.223         0.000        -3.616             0.000        99.915
    4.877         0.000        25.162         0.000        -3.643             0.000        99.915
    4.893         0.000        25.101         0.000        -3.670             0.000        99.915
    4.910         0.000        25.039         0.000        -3.697             0.000        99.915
    4.927         0.000        24.977         0.000        -3.725             0.000        99.915
    4.944         0.000        24.914         0.000        -3.752             0.000        99.915
    4.961         0.000        24.851         0.000        -3.779             0.000        99.915
    4.977         0.000        24.788         0.000        -3.806             0.000        99.915
    4.994         0.000        24.724         0.000        -3.833             0.000        99.915
    5.011         0.000        24.659         0.000        -3.860             0.000        99.915
    5.027         0.000        24.595         0.000        -3.888             0.000        99.915
    5.044         0.000        24.529         0.000        -3.915             0.000        99.915
    5.061         0.000        24.463         0.000        -3.942             0.000        99.915
    5.078         0.000        24.397         0.000        -3.969             0.000        99.915
    5.095         0.000        24.330         0.000        -3.996             0.000        99.915
    5.111         0.000        24.263         0.000        -4.023             0.000        99.915
    5.128         0.000        24.195         0.000        -4.051             0.000        99.915
    5.145         0.000        24.127         0.000        -4.078             0.000        99.915
    5.162         0.000        24.059         0.000        -4.105             0.000        99.915
    5.178         0.000        23.990         0.000        -4.132             0.000        99.915
    5.195         0.000        23.920         0.000        -4.159             0.000        99.915
    5.212         0.000        23.851         0.000        -4.187             0.000        99.915
    5.229         0.000        23.780         0.000        -4.214             0.000        99.915
    5.245         0.000        23.709         0.000        -4.241             0.000        99.915
    5.262         0.000        23.638         0.000        -4.268             0.000        99.915
    5.279         0.000        23.566         0.000        -4.295             0.000        99.915
    5.296         0.000        23.494         0.000        -4.322             0.000        99.915
    5.312         0.000        23.422         0.000        -4.350             0.000        99.915
    5.329         0.000        23.348         0.000        -4.377             0.000        99.915
    5.346         0.000        23.275         0.000        -4.404             0.000        99.915
    5.363         0.000        23.201         0.000        -4.431             0.000        99.915
    5.379         0.000        23.127         0.000        -4.458             0.000        99.915
    5.396         0.000        23.052         0.000        -4.485             0.000        99.915
    5.413         0.000        22.976         0.000        -4.513             0.000        99.915
    5.430         0.000        22.900         0.000        -4.540             0.000        99.915
    5.446         0.000        22.824         0.000        -4.567             0.000        99.915
    5.463         0.000        22.747         0.000        -4.594             0.000        99.915
    5.480         0.000        22.670         0.000        -4.621             0.000        99.915
    5.497         0.000        22.592         0.000        -4.649             0.000        99.915
    5.513         0.000        22.514         0.000        -4.676             0.000        99.915
    5.530         0.000        22.436         0.000        -4.703             0.000        99.915
    5.547         0.000        22.357         0.000        -4.730             0.000        99.915
    5.564         0.000        22.277         0.000        -4.757             0.000        99.915
    5.580         0.000        22.197         0.000        -4.784             0.000        99.915
    5.597         0.000        22.117         0.000        -4.812             0.000        99.915
    5.614         0.000        22.036         0.000        -4.839             0.000        99.915
    5.631         0.000        21.955         0.000        -4.866             0.000        99.915
    5.647         0.000        21.873         0.000        -4.893             0.000        99.915
    5.664         0.000        21.791         0.000        -4.920             0.000        99.915
    5.681         0.000        21.708         0.000        -4.947             0.000        99.915
    5.698         0.000        21.625         0.000        -4.975             0.000        99.915
    5.714         0.000        21.542         0.000        -5.002             0.000        99.915
    5.731         0.000        21.458         0.000        -5.029             0.000        99.915
    5.748         0.000        21.373         0.000        -5.056             0.000        99.915
    5.765         0.000        21.288         0.000        -5.083             0.000        99.915
    5.781         0.000        21.203         0.000        -5.110             0.000        99.915
    5.798         0.000        21.117         0.000        -5.138             0.000        99.915
    5.815         0.000        21.031         0.000        -5.165             0.000        99.915
    5.832         0.000        20.944         0.000        -5.192             0.000        99.915
    5.848         0.000        20.857         0.000        -5.219             0.000        99.915
    5.865         0.000        20.770         0.000        -5.246             0.000        99.915
    5.882         0.000        20.682         0.000        -5.273             0.000        99.915
    5.899         0.000        20.593         0.000        -5.300             0.000        99.915
    5.915         0.000        20.504         0.000        -5.328             0.000        99.915
    5.932         0.000        20.414         0.000        -5.355             0.000        99.915
    5.949         0.000        20.324         0.000        -5.382             0.000        99.915
    5.966         0.000        20.234         0.000        -5.409             0.000        99.915
    5.982         0.000        20.143         0.000        -5.436             0.000        99.915
    5.999         0.000        20.052         0.000        -5.464             0.000        99.915
    6.016         0.000        19.960         0.000        -5.491             0.000        99.915
    6.033         0.000        19.868         0.000        -5.518             0.000        99.915
    6.049         0.000        19.775         0.000        -5.545             0.000        99.915
    6.066         0.000        19.682         0.000        -5.572             0.000        99.915
    6.083         0.000        19.588         0.000        -5.599             0.000        99.915
    6.100         0.000        19.494         0.000        -5.627             0.000        99.915
    6.116         0.000        19.400         0.000        -5.654             0.000        99.915
    6.133         0.000        19.304         0.000        -5.681             0.000        99.915
    6.150         0.000        19.209         0.000        -5.708             0.000        99.915
    6.167         0.000        19.113         0.000        -5.723             0.000        99.914
    6.183         0.000        19.018         0.000        -5.738             0.000        99.914
    6.200         0.000        18.921         0.000        -5.752             0.000        99.914
    6.217         0.000        18.825         0.000        -5.767             0.000        99.914
    6.234         0.000        18.728         0.000        -5.782             0.000        99.913
    6.250         0.000        18.631         0.000        -5.796             0.000        99.913
    6.267         0.000        18.534         0.000        -5.811             0.000        99.913
    6.284         0.000        18.436         0.000        -5.826             0.000        99.913
    6.301         0.000        18.338         0.000        -5.841             0.000        99.912
    6.317         0.000        18.241         0.000        -5.855             0.000        99.912
    6.334         0.000        18.142         0.000        -5.870             0.000        99.912
    6.351         0.000        18.044         0.000        -5.885             0.000        99.912
    6.368         0.000        17.945         0.000        -5.899             0.000        99.911
    6.384         0.000        17.846         0.000        -5.914             0.000        99.911
    6.401         0.000        17.747         0.000        -5.929             0.000        99.911
    6.418         0.000        17.648         0.000        -5.944             0.000        99.911
    6.435         0.000        17.548         0.000        -5.958             0.000        99.910
    6.451         0.000        17.448         0.000        -5.973             0.000        99.910
    6.468         0.000        17.348         0.000        -5.988             0.000        99.910
    6.485         0.000        17.248         0.000        -6.002             0.000        99.910
    6.502         0.000        17.147         0.000        -6.017             0.000        99.909
    6.518         0.000        17.046         0.000        -6.032             0.000        99.909
    6.535         0.000        16.945         0.000        -6.046             0.000        99.909
    6.552         0.000        16.844         0.000        -6.061             0.000        99.909
    6.569         0.000        16.742         0.000        -6.076             0.000        99.908
    6.585         0.000        16.640         0.000        -6.091             0.000        99.908
    6.602         0.000        16.538         0.000        -6.105             0.000        99.908
    6.619         0.000        16.436         0.000        -6.120             0.000        99.908
    6.636         0.000        16.333         0.000        -6.135             0.000        99.907
    6.652         0.000        16.230         0.000        -6.149             0.000        99.907
    6.669         0.000        16.127         0.000        -6.164             0.000        99.907
    6.686         0.000        16.024         0.000        -6.179             0.000        99.907
    6.703         0.000        15.921         0.000        -6.193             0.000        99.906
    6.719         0.000        15.817         0.000        -6.208             0.000        99.906
    6.736         0.000        15.713         0.000        -6.223             0.000        99.906
    6.753         0.000        15.609         0.000        -6.238             0.000        99.906
    6.769         0.000        15.504         0.000        -6.252             0.000        99.905
    6.786         0.000        15.399         0.000        -6.267             0.000        99.905
    6.803         0.000        15.294         0.000        -6.282             0.000        99.905
    6.820         0.000        15.189         0.000        -6.296             0.000        99.905
    6.836         0.000        15.083         0.000        -6.311             0.000        99.904
    6.853         0.000        14.978         0.000        -6.326             0.000        99.904
    6.870         0.000        14.872         0.000        -6.340             0.000        99.904
    6.887         0.000        14.765         0.000        -6.355             0.000        99.904
    6.903         0.000        14.659         0.000        -6.370             0.000        99.903
    6.920         0.000        14.552         0.000        -6.385             0.000        99.903
    6.937         0.000        14.445         0.000        -6.399             0.000        99.903
    6.954         0.000        14.337         0.000        -6.414             0.000        99.903
    6.970         0.000        14.230         0.000        -6.429             0.000        99.902
    6.987         0.000        14.122         0.000        -6.443             0.000        99.902
